,stop_name,number_of_distinct_route_ids
1547,Isidora Blagojevića,4
987,Banovo Brdo,4
972,Kneževac,4
971,Kneževac,4
969,Jablanička,4
75,Ustanička,4
76,Ustanička,4
941,Bele Vode,4
939,Ateks,4
86,Staro Sajmište,4
937,Kontaktor,4
935,Inos,4
920,Ivo Lola Ribar,4
95,Železnička Stanica Novi Beograd,4
96,Železnička Stanica Novi Beograd,4
97,Blok 42,4
98,Blok 42,4
99,Agostina Neta,4
100,Agostina Neta,4
1544,Kaluđerica /Centar/,4
60,Batutova,4
1041,Nikole Doksata,4
1006,Novo Naselje,4
1500, Zdravstvena Stanica  Leštane I Vinča,4
1501,Babin Lug,4
1502,Babin Lug,4
1503,Vinča /Ulaz/,4
1035,Pante Srećkovića,4
1034,Pante Srećkovića,4
1033,Ljubice Luković,4
1032,Ljubice Luković,4
1504,Vinča /Ulaz/,4
1505,Mike Petrovića Alasa,4
1506,Mike Petrovića Alasa,4
1507,Svetosavska,4
1508,Svetosavska,4
1509,Vinča /Škola/,4
1510,Vinča /Škola/,4
1511,Vinčanska,4
1512,Vinčanska,4
1513,Miloša Obrenovića ,4
1514,Miloša Obrenovića ,4
1515,Vinča,4
1527,Vizantijska ,4
114,Blok 45,4
311,Vojvode Micka Krstića,4
1810,Grmeč,4
1782,Ugrinovci /Ulaz/,4
1778,Dobanovci /Ulaz/,4
1779,Dobanovci /Ulaz/,4
2075,Banovo Brdo,4
2265,Gandijeva,4
2072,Ane Ahmatove,4
425,Pariske  Komune,4
426,Pariske  Komune,4
427,Paviljoni,4
428,Paviljoni,4
429,Prilaz,4
431,Mirijevo 3,4
2070,Kneževac,4
1781,Partizanska 1,4
1784,Beogradska,4
411,Bjelovarska,4
1786,Ugrinovci /Centar/,4
444,Savski Trg (Savska),4
602,Mirijevo 4,4
2048,Bežanijska Kosa,4
2022,Miljakovac 3,4
601,Mirijevo 4,4
600,Milivoja Perovića,4
599,Aleksandra Belića,4
598,Aleksandra Belića,4
1808,Zmaj,4
230,Medaković 3,4
593,Mirijevski Venac,4
592,Mirijevski Venac,4
1777,Fruškogorska,4
201,Grčića Milenka,4
200,Grčića Milenka,4
199,Bačvanska,4
1761,Surčinska Petlja,4
1762,Industrijska Zona Dobanovci,4
1763,Industrijska Zona Dobanovci,4
1764,Naselje Pik,4
659,Kumodraž 1,4
658,Kovačka,4
657,Kovačka,4
656,Zemljoradnička,4
414,Ljubićka (Univerzitet Singidunum),4
655,Zemljoradnička,4
1765,Naselje Pik,4
1766,Bezdan,4
639,Trg Republike,4
1767,Bezdan,4
1768,Stevana Jovanovića,4
1769,Stevana Jovanovića,4
1770,Dobanovci /Centar/,4
1771,Dobanovci /Centar/,4
1772,Žarka Jelića,4
1773,Žarka Jelića,4
1774,Slovački Dom,4
1775,Slovački Dom,4
1776,Fruškogorska,4
2403,Savska Terasa,4
2400,Partizanska 2,4
198,Bačvanska,4
415,Ljubićka (Univerzitet Singidunum),4
585,Ladne Vode,4
584,Ladne Vode,4
583,Sime Trojanovića,4
483,Miloja Zakića,4
223,Zvezdara,4
222,Zvezdara,4
221,Miloša Jankovića,4
220,Miloša Jankovića,4
218,Gradska Bolnica,4
1815,Put Za Soko Salaš,4
1816,Dobanovci /Groblje/,4
1817,Partizanska,4
512,Trg Republike,4
1818,Zemunska,4
1819,Dobanovci /Centar/,4
1831,Institut Za Kukuruz,4
1833,Braće Krnješevac,4
520,Blok 42,4
1835,Vrtić Bubamara,4
521,"Pijaca ""Kalenić""",4
523,Južni Bulevar,4
524,Južni Bulevar,4
525,Tetovska,4
526,Tetovska,4
527,Dušanovac /Pošta/,4
552,Go Vračar,4
528,Dušanovac /Pošta/,4
1907,Batajnica (Centar),4
1901,Surčin /Centar/,4
1882,Naselje Belvil,4
207,Jaše Prodanovića,4
484,Ratka Mitrovića,4
482,Miloja Zakića,4
582,Sime Trojanovića,4
481,Luke Vojvodića,4
581,Ćalije,4
580,Ćalije,4
579,Astronomska,4
578,Astronomska,4
577,Triglavska,4
576,Triglavska,4
575,Marijane Gregoran,4
574,Marijane Gregoran,4
573,Generala Aračića,4
572,Generala Aračića,4
229,Svetozara Radojčića,4
228,Svetozara Radojčića,4
569,Trg Republike,4
1812,Ikarbus,4
466,Petlja Radnička,4
227,Medaković 2,4
226,Medaković 2,4
472,Petra Lekovića,4
473,Petra Lekovića,4
474,Žarkovačka,4
475,Žarkovačka,4
476,Sc  Košutnjak,4
1813,Naselje Radiofar,4
477,Sc  Košutnjak,4
478,Pionirski Grad,4
479,Pionirski Grad,4
480,Luke Vojvodića,4
412,Vitanovačka,4
413,Vitanovačka,4
410,Bjelovarska,4
310,Patrisa Lumumbe,4
1679,Savski Trg (Savska),4
1683,Vaznesenjska Crkva,4
2197,Dobanovačka Petlja,4
790,Mpi,4
2199,Naselje Okrajak,4
788,Maksima Gorkog,4
2207,Birotehnička Škola,4
2208,Dobanovci /Groblje/,4
288,Rada Končara,4
2209,Partizanska,4
286,Bosanska,4
285,Bosanska,4
284,Zlatiborska,4
2193,Kamenička,4
2680,Naselje Belvil,4
2171,Zlatanovići,4
283,Zlatiborska,4
2210,Zemunska,4
143,Voždovac,4
409,Darvinova,4
145,Pravni Fakultet,4
346,Šumice,4
347,Hotel Srbija,4
2466,Bare,4
2465,Bare,4
349,Grčića Milenka,4
1677,Posavska,4
299,Zemun /Novi Grad/,4
355,Stratimirovićeva,4
303,Husinjskih Rudara,4
2681,Naselje Belvil,4
823,Mosorska,4
822,Mosorska,4
817,Crkva Sv. Vasilija Ostroškog,4
816,Crkva Sv. Vasilija Ostroškog,4
815,Fakultet Organizacionih Nauka,4
309,Patrisa Lumumbe,4
308,Diljska,4
307,Diljska,4
306,Stevana Hristića,4
305,Stevana Hristića,4
304,Husinjskih Rudara,4
302,Salvadora Aljendea,4
1655,Oslobođenja,4
814,Fakultet Organizacionih Nauka,4
813,Atletska Dvorana,4
812,Atletska Dvorana,4
811,Veljka Lukića Kurjaka,4
810,Veljka Lukića Kurjaka,4
809,Trg Oslobođenja,4
808,Trg Oslobođenja,4
301,Salvadora Aljendea,4
