,stop_name,Number of trips
678,Medaković 2,436
9117,Savski Most,436
1947,Oktobarska,435
105,Pravni Fakultet,434
268,Sava Centar,434
274,Blok 23,434
9013,Savski Park,433
9118,Savski Most,433
3699,Drinske Divizije,433
3705,Save Mrkalja,433
1182,Zaplanjska,433
1185,Zaplanjska,432
1299,Pijaca,431
500,Rk Beograđanka,430
494,Terazije,430
4148,Bajdina,429
4160,"Oš ""Dragojlo Dudić""",429
277,Blok 23,429
4154,Mirijevska,429
2599,Ustanička,429
2074,Ratka Mitrovića,429
271,Sava Centar,429
1236,Vitanovačka,428
503,Rk Beograđanka,428
509,Trg Slavija,428
1230,Bjelovarska,428
1224,Darvinova,428
1242,Ljubićka (Univerzitet Singidunum),428
2316,Branka Pešića,427
2319,Filipa Višnjića,427
2082,Kneza Višeslava,427
2307,Stadion Zemun,427
2322,Filipa Višnjića,427
29,Ekonomski Fakultet,427
2301,Ugrinovačka,427
6211,Ane Ahmatove,427
2310,Stadion Zemun,427
1126,22. Oktobra,427
2313,Branka Pešića,427
488,Trg Republike,427
2928,Serdar Janka Vukotića,426
1233,Bjelovarska,426
1239,Vitanovačka,426
2760,Ivo Lola Ribar,426
2919,Labudovo Brdo,426
2925,Serdar Janka Vukotića,426
2922,Labudovo Brdo,426
1245,Ljubićka (Univerzitet Singidunum),426
1227,Darvinova,426
1157,Tršćanska,425
2287,Erport Siti,424
155,Studentski Trg,424
263,Blok 21,424
720,Ortopedski Zavod,424
2079,Kneza Višeslava,424
506,Trg Slavija,424
2285,Erport Siti,423
1308,Matice Srpske,423
2757,Pijaca,422
204,Pijaca Zvezdara,422
1311,Matice Srpske,421
6207,Kneževac,421
2007,Pionirski Park,421
149,Novo Groblje,420
201,Pijaca Zvezdara,420
143,Vatrogasna Komanda,420
137,Omladinski Stadion,420
1160,Tršćanska,419
885,Oš Gavrilo Princip,418
1774,Stojčino Brdo,418
1768,Selište,418
1762,Vitezova Karađorđeve Zvezde,418
140,Vatrogasna Komanda,417
888,Oš Gavrilo Princip,417
1550,Omladinski Stadion,417
146,Novo Groblje,417
1478,Toplana,416
1472,Vidikovački Venac,416
1481,Toplana,416
1460,Pilota Mihajla Petrovića,416
3300,Nedeljka Gvozdenovića,415
3006,Biodekor,415
1765,Selište,414
1771,Stojčino Brdo,414
1759,Vitezova Karađorđeve Zvezde,414
6691,Biodekor,414
1305,Semjuela Beketa,414
6140,Bežanijska Kosa,413
1068,Južni Bulevar,412
2261,Gandijeva,412
2267,Blok 70,412
1065,Stratimirovićeva,412
1056,Dušanovac /Pošta/,412
1095,Omladinskih Brigada,411
609,Beogradska Arena /Španskih Boraca/,411
7280,Palata Pravde,408
2276,Omladinskih Brigada,408
2397,Železnička Stanica Dunav,408
2270,Blok 70,408
1572,Južni Bulevar,407
1567,"Pijaca ""Kalenić""",407
484,Beogradska Arena /Antifašističke Borbe/,407
1584,Dušanovac /Pošta/,407
1578,Tetovska,407
1302,Semjuela Beketa,406
5782,Sc Vizura,406
1290,Mirijevo 3,406
6228,Žs Pančevački Most,406
7281,Palata Pravde,405
3646,Pakračka,404
3619,Borča Raskršće,404
3649,Pirotsko Naselje,404
3628,Sebeš Mokri,404
3643,Pakračka,404
3625,Sebeš Mokri,404
3637,Sebeš Suvi,404
3652,Pirotsko Naselje,404
3640,Sebeš Suvi,404
3631,Sebeška Reka,404
3634,Sebeška Reka,404
4174,Novo Naselje,403
3335,Zemun /Gornji Grad/,403
4168,Nine Kirsanove,403
4180,Put Za Kaluđericu,403
676,Vladimira Tomanovića,402
2628,Braće Vučković,402
2469,Mosorska,402
2439,Atletska Dvorana,402
615,27. Marta,402
2433,Veljka Lukića Kurjaka,402
2910,Jablanička,402
2445,Fakultet Organizacionih Nauka,402
2451,Crkva Sv. Vasilija Ostroškog,402
2427,Trg Oslobođenja,402
2436,Atletska Dvorana,401
1656,Go Vračar,401
2430,Veljka Lukića Kurjaka,401
2442,Fakultet Organizacionih Nauka,401
2466,Mosorska,401
1575,Tetovska,401
3420,Milutina Milankovića,401
2448,Crkva Sv. Vasilija Ostroškog,401
2424,Trg Oslobođenja,401
1563,"Pijaca ""Kalenić""",401
1581,Dušanovac /Pošta/,401
1569,Južni Bulevar,401
253,Ekonomski Fakultet,401
604,Grčića Milenka,400
598,Bačvanska,400
1060,Beogradska Arena /Antifašističke Borbe/,400
601,Grčića Milenka,400
639,Marka Oreškovića,400
2371,Mpi,400
645,Šabačka,400
627,Zdravka Čelara,400
765,Paunova,400
633,Podvožnjak,400
2365,Maksima Gorkog,400
595,Bačvanska,400
3338,Zemun /Gornji Grad/,399
115,Savski Trg,399
9210,Ilije Guteše,399
3654,Blok 42,399
4596,Pirandelova,398
821,Džona Kenedija,398
1098,Omladinskih Brigada,397
1150,Dunavska,397
636,Podvožnjak,397
3641,Sebeš Suvi,397
642,Marka Oreškovića,397
3629,Sebeš Mokri,397
