,DC,CC,BC,EVC
Dimitrija Avramovića(2380),0.0006391818472355385,0.04188755020080321,0.0005014385827143377,1.7229479165244298e-08
Cvetni Trg(538),0.0006391818472355385,0.053883244360254864,0.0005014244549865259,0.00449372190478061
Dorćol /Dunavska/(2110),0.0006391818472355385,0.048362416729779444,0.0005012065789398953,0.001765616146360427
1. Nova(2895),0.0006391818472355385,0.03182433050925031,0.000500622052415413,5.368083737486994e-15
29.Novembra(2976),0.0006391818472355385,0.03932238322043909,0.0004966938072402706,2.0752833703793737e-10
Dušana Jovanovića (574),0.0006391818472355385,0.03944631443591392,0.0004948697315282563,2.715567833574541e-10
13. Maj /Ulaz/(466),0.0006391818472355385,0.04137192421097169,0.0004945365035038486,5.172586382589699e-06
Sibnička Nova 4. Deo(2586),0.0006391818472355385,0.02934033475549721,0.0004938113499560485,5.208318557071956e-13
Salvadora Aljendea(336),0.001278363694471077,0.0385843763487268,0.0004926189463449176,2.1358603608184254e-07
Put Za Nestoroviće(2765),0.0006391818472355385,0.024311976503861635,0.0004913857617845948,8.296738942710603e-22
Galenika (Kapija)(1232),0.0006391818472355385,0.04403259171697556,0.000490625038863843,1.3452257850060333e-05
Cerak Vinogradi(2123),0.0006391818472355385,0.039776772093969286,0.0004858295280479179,2.740489964110986e-10
Put Za Žtp(987),0.0009587727708533077,0.042858903940718014,0.000484546601233429,2.8568075244144937e-08
Go Voždovac(642),0.0006391818472355385,0.050397023531496124,0.0004824949250471094,2.494631315897973e-05
Milana Zečara(1719),0.0006391818472355385,0.03944084503491567,0.00048011880372800085,2.068061630911429e-07
Uprava Carine(1086),0.0006391818472355385,0.05078803421578016,0.0004800160932459971,2.9076110249633283e-05
Sretena Mladenovića Mike(3040),0.0006391818472355385,0.040888064187335024,0.000476248891539314,1.3469783518853768e-09
Velimira Todorovića(212),0.0006391818472355385,0.0476930815309342,0.0004746138088820193,9.319283129420748e-06
Matice Srpske(1918),0.0006391818472355385,0.0375188853449723,0.00047086266347225663,2.877709319362233e-10
Studentska(1117),0.0006391818472355385,0.05208749500599281,0.0004691716894573475,0.00012287834415024605
Braće Suzić(1803),0.0006391818472355385,0.03122629835136322,0.0004691357138128086,1.0696479697374998e-13
Vasilija Ostroškog(3006),0.0006391818472355385,0.03095139177399252,0.0004644059116880916,8.275287207649011e-14
Go Vračar(2499),0.0006391818472355385,0.0536237596613597,0.0004643817627902668,0.0012357833520345797
Trafostanica(2187),0.0006391818472355385,0.04121606491299709,0.0004616096073873064,6.11734451920012e-09
Knežopoljska(714),0.0006391818472355385,0.04689256223118078,0.0004545413330996594,0.0006619893806548529
Birčaninova(638),0.0006391818472355385,0.05555950140274868,0.0004517533792192564,0.00214280299262873
Filipa Višnjića(421),0.0015979546180888463,0.04628972128528315,0.0004470224070105627,6.46603131373672e-05
Školsko Dobro(2194),0.0009587727708533077,0.0390451471212159,0.0004454287026826676,7.807125769221344e-07
Dunavac(1739),0.0006391818472355385,0.028079653244550536,0.00044375718686796693,2.4963578055648042e-14
Vojni Put(325),0.0006391818472355385,0.03977019967716105,0.00043739241961747167,2.237373816382824e-08
Savski Trg (Savska)(478),0.0009587727708533077,0.05820745591189821,0.00043545114080652215,0.001851134259522889
Mile Jevtović(2483),0.0006391818472355385,0.0440518090947487,0.00043486367048882235,1.5661793593163974e-07
Azil Za Pse(3897),0.0006391818472355385,0.03517390229096877,0.00043442369885312156,1.3798639333815014e-12
Beli Potok(2177),0.0006391818472355385,0.02973288862282277,0.0004339531378740374,9.675433443158941e-17
Vinogradski Venac(2120),0.0006391818472355385,0.03831225281923816,0.0004311173854968799,7.377193056238411e-11
Živojina Tabakovića (Srednji Kraj)(2917),0.0006391818472355385,0.029614136041416255,0.0004303947473190031,2.2156635179786354e-15
Franše Deperea(150),0.0006391818472355385,0.05529050042408821,0.0004296333675936147,0.0014702134552283621
Beli Potok (Igralište)(2856),0.0006391818472355385,0.028070584646852487,0.0004244342053131728,4.670563495317636e-18
Put Za Crvenku(2830),0.0006391818472355385,0.027200417264310862,0.0004211305517674329,5.620560430402185e-16
Most Gazela(1054),0.0006391818472355385,0.05221788324822269,0.00042051527174610624,0.00043895491059378985
Cerski Venac(2121),0.0006391818472355385,0.03951356266100924,0.0004199737789589784,4.164843755853463e-10
Matice Srpske(1917),0.0006391818472355385,0.03709059873638292,0.0004168160919692874,1.0371618833478241e-10
