,index,BC_lovain
131,Go Vračar(586),3.0651303416026465e-06
1121,Boleč /Pumpa/(2134),3.0310733378070613e-06
165,Vukov Spomenik /Bul.Kralja Aleksa./(108),3.0106391355297105e-06
337,Vidikovačka(3045),2.9629593302158912e-06
28,Mihajla Gavrilovića(823),2.9629593302158912e-06
11,Trg Oslobođenja(154),2.9629593302158912e-06
411,Beogradska Arena(821),2.9629593302158912e-06
596,Staro Sajmište(116),2.928902326420307e-06
1037,"Vrtić ""Oaza""(3191)",2.9289023264203064e-06
604,Džona Kenedija(308),2.9289023264203064e-06
164,Trg Slavija(3054),2.894845322624721e-06
235,27. Marta(841),2.8607883188291364e-06
930,Škola Vojislav Ilić(830),2.8607883188291364e-06
871,Ostružnica 1(1967),2.8607883188291364e-06
1185,Ledine(1143),2.8607883188291364e-06
1261,Železnička Stanica Resnik(898),2.8607883188291364e-06
752,Stari Aerodrom(1124),2.8607883188291364e-06
1092,Mostar(16),2.8607883188291364e-06
679,Hotel Jugoslavija(305),2.8607883188291364e-06
1404,Prnjavor /Škola/(2403),2.8607883188291364e-06
1281,Železnička Stanica Resnik(897),2.8607883188291364e-06
39,Ljubićka (Univerzitet Singidunum)(449),2.8607883188291364e-06
906,Inos(975),2.8607883188291364e-06
830,Kijevska(185),2.8607883188291364e-06
902,Inos(974),2.8607883188291364e-06
791,Depo Sava(2202),2.8607883188291364e-06
495,Husova(564),2.8607883188291364e-06
1234,Pružni Prelaz(2980),2.8607883188291364e-06
1031,Put Za 13. Maj(1163),2.8267313150335516e-06
657,Pijaca Skadarlija(54),2.826731315033551e-06
128,Vukov Spomenik(654),2.8131085135153176e-06
1193,Bežanijska Kosa(2102),2.7586173074423815e-06
220,Trg Oslobođenja(153),2.7586173074423815e-06
717,Marka Čelebonovića(1996),2.7586173074423815e-06
765,Jkp Zelenilo Beograd(1007),2.7586173074423815e-06
106,Omladinski Stadion(550),2.7586173074423815e-06
401,Crkva Svetog Dimitrija(1993),2.748400206303706e-06
1270,Kneževac(2124),2.707531801749004e-06
254,Ušće(300),2.6905032998512115e-06
1041,Put Za Novi Sad(2278),2.656446296055627e-06
198,Dugo Polje(2300),2.6564462960556267e-06
982,Tc Zmaj(2860),2.6564462960556267e-06
975,Tc Zmaj(3145),2.6564462960556267e-06
530,Birotehnička Škola(2262),2.6564462960556267e-06
1157,Stara Kaluđerica(1444),2.6564462960556267e-06
272,Triglavska(610),2.6564462960556267e-06
904,Stevana Đurđevića(1006),2.6564462960556267e-06
1347,Žikice Jovanovića(1663),2.6564462960556267e-06
742,Podvožnjak(245),2.6564462960556267e-06
776,Pijaca Blok 44(1214),2.6564462960556267e-06
1267,Vijadukt(946),2.6564462960556267e-06
49,Banjica 2(1599),2.6564462960556267e-06
276,Hala Aleksandar Nikolić(1729),2.6564462960556267e-06
1340,Lepenskog Vira(3057),2.6564462960556267e-06
734,Imt(1127),2.6564462960556267e-06
653,Pristanište(7),2.6564462960556267e-06
1405,Trešnja(2405),2.6564462960556267e-06
